relative_path,source_ext,source_bytes,output_bytes,bytes_saved,percent_smaller,source_width,source_height,output_width,output_height,resized,scale_long_edge
3 PHase Service.jpeg,.jpeg,75279,29906,45373,0.6027311733684029,480,640,480,640,False,1.0
7550693456474594645.jpg,.jpg,640511,339712,300799,0.46962347250866887,2048,1536,2048,1536,False,1.0
After me.jpg,.jpg,133636,77044,56592,0.4234787033434104,636,849,636,849,False,1.0
Air Compressor.jpeg,.jpeg,2035546,176636,1858910,0.9132242651357425,3024,4032,1536,2048,True,0.5079365079365079
Barn.jpeg,.jpeg,2436383,331814,2104569,0.863808768982545,3024,4032,1536,2048,True,0.5079365079365079
Before me.jpg,.jpg,21648,11540,10108,0.46692535107169253,204,272,204,272,False,1.0
Blower Motor.jpeg,.jpeg,3688876,732406,2956470,0.8014555111096171,4032,3024,2048,1536,True,0.5079365079365079
CT CABINET Service upgrade.jpg,.jpg,24770,12978,11792,0.4760597496972143,214,286,214,286,False,1.0
Conduit Piping.jpg,.jpg,209506,94212,115294,0.5503135948373794,1200,1600,1200,1600,False,1.0
Conduit.jpg,.jpg,260781,131356,129425,0.49629765972214235,1200,1600,1200,1600,False,1.0
Control Cabinet.jpeg,.jpeg,2750699,430296,2320403,0.8435684893185332,3024,4032,1536,2048,True,0.5079365079365079
Control Work.jpeg,.jpeg,107813,53036,54777,0.5080741654531458,480,640,480,640,False,1.0
Counter Bar Lighting.jpg,.jpg,226590,90702,135888,0.5997087250099298,1392,857,1392,857,False,1.0
Dust Collector System.jpg,.jpg,307886,178458,129428,0.42037637307315046,1200,1600,1200,1600,False,1.0
Dust Collector motor.jpg,.jpg,223998,150354,73644,0.32877079259636244,1200,900,1200,900,False,1.0
EMT Piping.jpeg,.jpeg,2750935,481426,2269509,0.82499550152948,3024,4032,1536,2048,True,0.5079365079365079
Electrical Panels.jpg,.jpg,180700,113858,66842,0.36990592141671275,686,915,686,915,False,1.0
Exterior Light Fixtures.jpeg,.jpeg,2369583,325554,2044029,0.8626112695778118,4032,3024,2048,1536,True,0.5079365079365079
Field Controls.jpeg,.jpeg,2232581,294728,1937853,0.8679877684169129,3024,4032,1536,2048,True,0.5079365079365079
Fire Response.jpg,.jpg,341902,191542,150360,0.4397751402448655,1200,1600,1200,1600,False,1.0
Gas Station Service Call .jpeg,.jpeg,4674447,410022,4264425,0.9122843835859087,5712,4284,2048,1536,True,0.3585434173669468
Horse Barn.jpg,.jpg,1857099,392840,1464259,0.7884657737686575,3024,4032,1536,2048,True,0.5079365079365079
Horse Stall Lighting.jpeg,.jpeg,2417036,326750,2090286,0.8648137636344679,4032,3024,2048,1536,True,0.5079365079365079
IMG_0733.jpg,.jpg,52428,26700,25728,0.49073014419775696,438,328,438,328,False,1.0
IMG_0852.jpg,.jpg,33016,13496,19520,0.5912284952750182,438,328,438,328,False,1.0
IMG_1380.HEIC,.heic,1698961,305700,1393261,0.8200664994664386,4032,3024,2048,1536,True,0.5079365079365079
IMG_1599_Original.PNG,.png,3662360,684932,2977428,0.8129807009687742,828,1792,828,1792,False,1.0
IMG_8814.HEIC,.heic,1750180,301786,1448394,0.8275685929447256,4032,3024,2048,1536,True,0.5079365079365079
